               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 127,            0.039144,           0.0098121,            0.012234,             0.95148,             0.97691,               0.995,             0.60396,            0.024037,           0.0055047,            0.006483,            0.007732,            0.007732,            0.007732
                 128,            0.031288,           0.0088558,            0.011411,             0.95148,             0.97691,               0.995,             0.60396,            0.024037,           0.0055047,            0.006483,            0.007714,            0.007714,            0.007714
                 129,            0.029741,            0.011308,           0.0099006,             0.95977,              0.9963,               0.995,             0.74784,            0.020286,           0.0054949,           0.0064901,            0.007696,            0.007696,            0.007696
                 130,            0.036543,           0.0090146,             0.01159,             0.71078,             0.96429,              0.9435,             0.57009,            0.035515,           0.0063072,           0.0074111,            0.007678,            0.007678,            0.007678
                 131,            0.047331,            0.010476,            0.011938,             0.92853,             0.96429,              0.9727,              0.6754,             0.02825,           0.0058189,           0.0072396,             0.00766,             0.00766,             0.00766
                 132,            0.036637,            0.010841,            0.011175,             0.92853,             0.96429,              0.9727,              0.6754,             0.02825,           0.0058189,           0.0072396,            0.007642,            0.007642,            0.007642
                 133,            0.030206,           0.0084829,            0.014483,             0.94188,             0.96429,             0.97755,             0.76129,            0.020518,           0.0054807,           0.0074257,            0.007624,            0.007624,            0.007624
                 134,            0.033776,           0.0096784,            0.015264,             0.86383,              0.9531,             0.96233,             0.45738,            0.034239,           0.0062455,           0.0058871,            0.007606,            0.007606,            0.007606
                 135,            0.043073,           0.0096488,            0.011539,             0.91201,                   1,              0.9875,             0.66329,             0.02703,           0.0059819,           0.0054537,            0.007588,            0.007588,            0.007588
                 136,            0.037872,            0.012188,            0.013544,             0.91201,                   1,              0.9875,             0.66329,             0.02703,           0.0059819,           0.0054537,             0.00757,             0.00757,             0.00757
                 137,            0.029662,           0.0083533,           0.0089413,              0.9873,                   1,               0.995,             0.70158,            0.020765,            0.005574,           0.0052588,            0.007552,            0.007552,            0.007552
                 138,            0.031793,            0.010587,            0.010622,              0.8097,             0.98991,             0.95082,             0.74394,            0.019772,           0.0054211,           0.0051185,            0.007534,            0.007534,            0.007534
                 139,            0.031724,           0.0098811,            0.013115,             0.67512,                   1,             0.88064,              0.5179,            0.024289,           0.0056407,           0.0050175,            0.007516,            0.007516,            0.007516
                 140,            0.036953,            0.010755,            0.010982,             0.67512,                   1,             0.88064,              0.5179,            0.024289,           0.0056407,           0.0050175,            0.007498,            0.007498,            0.007498
                 141,             0.03277,            0.012687,           0.0098316,             0.98973,                   1,               0.995,             0.80005,            0.018623,           0.0052264,           0.0049502,             0.00748,             0.00748,             0.00748
                 142,            0.033316,           0.0096204,            0.009322,             0.86897,             0.92857,             0.94286,             0.60909,            0.024662,            0.005533,           0.0048614,            0.007462,            0.007462,            0.007462
                 143,            0.031228,           0.0082368,            0.012344,             0.86719,                   1,             0.92841,             0.64882,            0.024087,            0.005639,           0.0048819,            0.007444,            0.007444,            0.007444
                 144,            0.034976,            0.010487,            0.013135,             0.86719,                   1,             0.92841,             0.64882,            0.024087,            0.005639,           0.0048819,            0.007426,            0.007426,            0.007426
                 145,            0.029351,           0.0085979,            0.014748,              0.9937,                   1,               0.995,             0.75374,            0.018324,           0.0055228,           0.0048494,            0.007408,            0.007408,            0.007408
                 146,            0.025392,           0.0094422,           0.0092876,             0.99261,                   1,               0.995,             0.73294,            0.018541,           0.0054863,           0.0047066,             0.00739,             0.00739,             0.00739
                 147,            0.029755,            0.012559,           0.0096678,             0.80317,             0.99276,             0.85682,             0.46195,            0.031576,            0.006022,           0.0045099,            0.007372,            0.007372,            0.007372
                 148,            0.042882,             0.01006,            0.011138,             0.80317,             0.99276,             0.85682,             0.46195,            0.031576,            0.006022,           0.0045099,            0.007354,            0.007354,            0.007354
                 149,            0.037655,            0.012452,            0.012101,             0.75497,             0.90476,             0.86049,             0.53992,            0.027165,            0.005757,           0.0043877,            0.007336,            0.007336,            0.007336
                 150,            0.034258,            0.011306,           0.0096454,             0.91877,                   1,               0.995,             0.60723,            0.021858,            0.005364,           0.0042756,            0.007318,            0.007318,            0.007318
                 151,            0.029839,           0.0092439,           0.0096429,             0.69638,                   1,             0.90624,             0.72464,            0.027028,           0.0053218,           0.0043315,              0.0073,              0.0073,              0.0073
